Sample Material,ID,MFR,TML,Category,CVCM,Space Code,WVR,Material Usage,Cure
EE 4210/HD 3615 BLACK EPOXY,GSC17216,HYS,3.75,14,2.1,1,0.17,POTTING,2H
EE 4210/HD 3616 AS 5/1 BW BLACK EPOXY,GSC17578,HYS,0.74,12,0.01,3,0.34,MOLD CPND,2H
EE 4215/HD 3561 AS 100/15 BW BLACK EPOXY (C9-4215),GSC16088,HYS,0.9,12,0.01,1,0.26,MOLD CPND,24H
EE 4215/HD 3561 BLACK EPOXY,GSC31288,ATK,0.41,1,0,1,0.07,ADHESIVE,24H
EE 4215/HD 3561 BLACK EPOXY,GSC31291,ATK,0.45,1,0,1,0.13,ADHESIVE,3H
"EE96260 RUBBER, PER ASTM D2000, M2HK699, A1-10, B38, EF31",GSC32377,EGL,0.16,15,0,1,0.1,SHEAR PLY,
EFIRON UVF PC-373,GSC32896,LUV,2.68,99,0.22,1,0.09,FIBER RECOAT MATERIAL,
EG 7635 A/B AS 1/1 BW WHITE EPOXY,GSC17454,AIT,0.72,1,0.13,1,0.14,ADHESIVE,7D
EG 7635C A/B AS 1/1 BW CLEAR EPOXY,GSC18442,AIT,14.05,3,0.03,1,0.32,CONF COAT,48H
EG 7635C A/B AS 1/1 BW CLEAR EPOXY,GSC18444,AIT,12.25,3,0.02,1,0.31,CONF COAT,7H
EG 7655 A/B AS 1/1 BW BLACK EPOXY,GSC17456,AIT,0.75,1,0.17,1,0.23,ADHESIVE,7D
EG 8050 SILVER FILLED EPOXY SILVER COLOR,GSC22744,AIT,0.9,6,0.1,1,0.2,FILM ADHESIVE,2H
EGA-142 A/B AS 100/28 BW EPOXY,GSC25291,IPN,0.74,1,0.01,1,0.23,ADHESIVE,3H
EGA-148 A/B AS 10/2.8 PBW AMBER EPOXY,GSC18790,IPN,0.67,1,0,1,0.4,ADHESIVE,24H
EGA-439 A/B AS 100/9 BW EPOXY,GSC25294,IPN,0.53,1,0.09,1,0.2,ADHESIVE,3H
EGA-515 A/B AS 1/1 BV EPOXY,GSC25300,IPN,1.01,1,0.04,1,0.33,ADHESIVE,3H
EGE 101 A/B AS 100/6 BW RIGID BLACK EPOXY,GSC16781,IPN,0.23,14,0,1,0.1,POTTING,4H
EGE 101 A/B AS 100/6 BW RIGID BLACK EPOXY,GSC16784,IPN,0.19,14,0.01,2,0.1,POTTING,16H
EGE 111 A/B AS 100/3.8 BW RIGID BLACK EPOXY,GSC16805,IPN,0.52,14,0.03,1,0.06,POTTING,2H
EGE 112 A/B AS 100/7 BW FLEXIBLE BLACK EPOXY,GSC16808,IPN,0.67,14,0.08,1,0.12,POTTING,2H
EGE-303HK A/B AS 100/3.5 PBW BLACK SILICONE,GSC21765,IPN,0.45,14,0.13,1,0.01,ENCAPSULANT,2H
EGE-303HK A/B AS 100/3.5 PBW BLACK SILICONE,GSC21828,IPN,0.27,14,0.13,2,0,ENCAPSULANT,2H
EGE-303HK LV A/B AS 100/3.5 PBW BLACK SILICONE,GSC21768,IPN,0.44,14,0.13,1,0.01,ENCAPSULANT,2H
EGE-303HK LV A/B AS 100/3.5 PBW BLACK SILICONE,GSC21831,IPN,0.24,14,0.13,2,0,ENCAPSULANT,2H
EGE-XX-305HK AS 10/1 BW SILICONE,GSC26716,IPN,0.09,14,0.03,2,0.02,ENCAPSULANT,2H
EGE-XX-307HK AS 1/1 BW SILICONE,GSC26719,IPN,0.06,14,0.02,2,0.03,ENCAPSULANT,2H
EGE-XX-309HK AS 1/1 BW SILICONE,GSC26722,IPN,0.06,14,0,2,0.03,ENCAPSULANT,2H
E-GLASS NETTING PN 1653,GSC30259,BGF,0.09,6,0.01,1,0.03,BLANKET,
EGRAF 1205A ACRYLIC PRESSURE SENSITIVE ADHESIVE,GSC31729,EGF,0.42,1,0,1,0.02,ADHESIVE,
eGRAF 1220 THERMAL INTERFACE SHEETS,GSC28648,III,0.04,6,0,1,0.01,THERMAL INTERFACE,
"eGRAF 1220 THERMAL INTERFACE SHEETS, WITH ADHESIVE/F",GSC28651,III,0.07,6,0,1,0.01,THERMAL INTERFACE,
eGRAF 720 THERMAL INTERFACE SHEETS,GSC28642,III,0.04,6,0,1,0.01,THERMAL INTERFACE,
"eGRAF 720 THERMAL INTERFACE SHEETS, WITH ADHESIVE/F",GSC28645,III,0.06,6,0,1,0.01,THERMAL INTERFACE,
EGRAF HT-1200,GSC32971,EGF,0.11,6,0,1,0.02,THERMAL INTERFACE FOIL,
"EGRAF, 10 MIL",GSC34162,EGF,0.05,6,0.01,1,0.01,FILM,
EHP-1 POLYURETHANE FOAM - BLACK,GSFC5355,CAF,3.2,7,0.27,1,,FOAM ABSORBER,
EHP-1 POLYURETHANE FOAM/BLUE NEOPRENE PAINT,GSFC5358,CAF,7.73,7,1.83,1,,FOAM ABSORBER,
EHP-3 BLACK SILICONE FOAM,GSFC8078,EMC,3.47,7,0.32,1,0.48,FOAM,
EHP-3 HR POLYIMIDE IMPREG NOMEX PAPER HONEYCOMB,GSFC5361,DUP,1.97,4,0.02,1,,ABSORBER,
EHP-8 MICROWAVE ABSORBING FOAM,GSFC3003,EMC,5.07,4,0.29,1,,FOAM,
"EJ-299-18, PLASTIC SCINTILLATOR, LOT # 080206A01",GSC32338,ELJ,0.32,99,0,1,0.05,PLASTIC SCINTILLATOR,
EJ-500 OPTICAL CEMENT,GSC27661,ELJ*,1.91,1,0.39,1,0.4,OPTICAL CEMENT,7D
EJ-500 OPTICAL CEMENT,GSC27670,ELJ*,2.01,1,0.39,1,0.37,OPTICAL CEMENT,4H
EK-2241 ONE PART GRAY NON-SAG EPOXY,GSC21925,TAC,0.72,1,0.01,1,0.37,ADHESIVE,30M
EKKCEL C-1000 AROMATIC COPOLYESTER BROWN HIGH TEMP,GSFC9242,CRB,0.26,12,0,1,0.07,MOLD CPND,
EKKCEL I-2000 AROMATIC COPOLYESTER TAN HIGH TEMP,GSFC9245,CRB,0.06,12,0,1,0,MOLD CPND,
EKKCEL WR-25 AROMATIC POLYESTER/TFE BLEND TAN,GSFC9254,CRB,0.01,8,0,1,0,SOLID LUBE,
E-KOTE 3030 CONDUCTIVE ACRYLIC PAINT,GSFC2827,EPO,0.76,13,0.05,2,,COND PAINT,1H
E-KOTE 40 COND SILVER PAINT/ACRYLIC,GSFC3808,EPO,3.32,13,0.1,2,,COND PAINT,16H
EKTAR FB CG907 BLACK,GSC18881,EAC,0.59,12,0.01,1,0.05,MOLD CPND,
EKTAR FB CG907 NATURAL,GSC18883,EAC,0.64,12,0.01,1,0.05,MOLD CPND,
EL-18LS ONE PART EPOXY BLACK,GSC24678,ALP,0.73,1,0.02,1,0.13,ADHESIVE,30M
EL-18LS ONE PART EPOXY BLACK,GSC24684,ALP,0.42,1,0.01,1,0.13,ADHESIVE,30M
ELASTOFOAM P/N 88 W/EMBEDDED MONEL WIRES,GSC18000,TEC,1.62,15,0.52,1,0.04,EMI SHIELD,
ELASTOMER - UNKNOWN IDENTITY,GSFC8870,DCC,0.27,0,0,1,0.03,ADHESIVE,
ELASTOMET P/N 82 W/EMBEDDED MONEL WIRES,GSC18002,TEC,1.35,15,0.43,1,0.02,GASKET SHIELD,
ELASTOMET WIRE EMBEDDED SILICONE SHIELDING,GSC13177,TEC,0.05,5,0.03,1,0,EMI SHIELDING,36H
ELASTOSIL LR 3003/40 A/B LIQUID SILICONE RUBBER,GSC33280,WAC,1.05,15,0.47,1,0.07,RUBBER,
ELASTOSIL LR 3003/40 A/B LIQUID SILICONE RUBBER - BAKED,GSC33283,WAC,0.92,15,0.42,1,0.05,RUBBER,24H
"ELASTOSIL LR 3003/40 RED 346, LIQUID SILICONE RUBBER O-RING",GSC33424,WAC,0.32,15,0.1,1,0.17,O-RING,
ELASTOSOL R HTV RED SILICONE RUBBER,GSC28306,WAC,0.3,15,0.09,1,0.11,ELASTOMER,
ELC 4195 ONE PART URETHANE ACRYLIC UV CURED RED,GSC20318,ELL,4.54,1,0.04,1,0.76,ADHESIVE,
ELC 4195 ONE PART URETHANE ACRYLIC UV CURED RED,GSC20417,ELL,6.31,1,0.07,1,0.78,ADHESIVE,1H
EL-CAST VFR WITH 4123 HARDENER,GSC29677,URC,5.38,99,2.72,1,0.13,EPOXY RESIN,
ELECTRICAL CONNECTOR 15-187 PHENOLIC BLACK,GSC27262,CSL,4.55,4,0.01,1,0.44,ELECTRICAL SHUNT,
ELECTRO 102 CONDUCTIVE DRY LUBRICANT FILM,GSC19827,TIO,0.59,8,0.06,1,0.12,COND LUBRICANT,2H
ELECTROBOND 1700 A/B AS 100/5.3 BW,GSFC3185,EFI,3.19,1,1.31,1,,ADHESIVE,24H
ELECTROBOND 2015 A/B AS 10/1 BW SILVER FILLED EPOXY,GSFC2967,EFI,0.44,1,0.02,1,,COND ADHESIVE,2H
ELECTRODAG 213,GSC31993,ACH,0.82,8,0,1,0.48,LUBRICANT,1H
ELECTRODAG 415 SILVER FILLED COATING/F,GSC21555,ACH,0.9,3,0.16,1,0.01,COND COAT,1H
ELECTRODAG 503 SILVER-FILLED EPOXY COATING/F,GSC28330,ACH,0.19,1,0.03,1,0.01,RF COATING,
ELECTRODAG 504 SILVER FILLED FLUOROELASTOMER COAT/F,GSC26821,ACH,0.5,3,0.09,1,0,COATING,
ELECTROFILM 2396 SILICATE/MOS2,SRI10209,EFI,0.32,0,0.2,2,,SOLID LUBE,2H
ELECTROFILM 2396 SILICATE/MOS2,SRI10210,EFI,0.21,0,0.16,2,,SOLID LUBE,2H
ELECTROFILM 4306 PHENOLIC/MOS2,SRI10202,EFI,0.72,0,0.2,1,,SOLID LUBE,90M
ELECTROFILM 4306 PHENOLIC/MOS2,SRI10203,EFI,0.67,0,0.09,1,,SOLID LUBE,16H
ELECTROFILM HEATING ELEMENT 112000-202,GSFC3147,EFI,0.2,99,0.09,1,,HEATER,24H
ELECTROFILM HEATING ELEMENT 112000-222,GSFC3187,EFI,0.91,99,0.16,1,,HEATER,
ELECTROFILM PATCH HEATER SILICONE ELASTOMER,GSFC2191,EFI,0.98,99,0.28,1,,HEATER,
ELECTROLUMINESCENT LAMP-GRIMES-YELLOW,GSC13299,MRG,0.41,4,0.01,1,0.16,LAMP,
ELECTROSHIELD C28 POLYESTER FILM/.0007 COPPER FOIL,GSC13894,LAM,0.28,10,0.03,1,0.2,RFI/RMI SHIELD,
ELJEN-200 CLEAR PLASTIC SCINTILLATOR,GSC27703 ,ELJ*,1.21,99,0,1,0.01,SCINTILLATOR,
ELPEMER 2-PACK SOLDER RESIST GL 2467 SM-DG DK GREEN,GSC25080,LAC,1.49,3,0.43,1,0.28,SOLDERMASK,3H
ELPEMER 2-PACK SOLDER RESIST GL 2467 SM-DG GREEN,GSC25468,LAC,2.41,3,1.12,3,0.16,SOLDER MASK,1H
ELPEMER 2-PACK SOLDER RESIST GL 2467 SM-DG GREEN,GSC25681,LAC,1.59,3,0.18,3,0.18,SOLDER MASK,1H
ELPEMER 2-PACK SOLDER RESIST GL 2467 SM-DG GREEN,GSC25753,LAC,1.81,3,0.15,1,0.09,SOLDER MASK,1H
ELPEMER 2-PACK SOLDER RESIST GL 2467 SM-DG GREEN UV,GSC25173,LAC,0.91,3,0.04,1,0.47,SOLDER MASK,1H
ELPEMER 2-PACK SOLDER RESIST GL 2469 SM GREEN UV,GSC25179,LAC,0.64,3,0,1,0.57,SOLDER MASK,1H
ELTEN POLYETHERIMIDE,GSC10889,GEC,0.65,12,0.01,1,0.29,MOLD CPND,30M
EM 65-87003 ELEC COND SILICONE,GSC17790,KEC,0.16,15,0.08,2,0.01,GASKET SHIELD,20M
EM 70-88015 ELEC COND SILICONE,GSC17738,KEC,0.2,15,0.09,2,0,GASKET SHIELD,20M
EM 70-88015 ELEC COND SILICONE,GSC17740,KEC,0.02,15,0.01,3,0,GASKET SHIELD,20M
EM 7302 GLASS FILLED EPOXY,GSC12175,USP,0.48,12,0,2,0.1,MOLD CPND,15M
EM-166 TYPE K RED EPOXY MOLDING CPND,GSC15984,HTR,0.38,12,0,2,0.16,MOLD CPND,14M
EMA 7037 IRON,GSFC5741,SBI,0.34,4,0.01,1,,DIELECTRIC,
EMA 7085 IRON,GSFC5743,SBI,0.23,4,0,1,,DIELECTRIC,
EMA 8190 IRON,GSFC5745,SBI,0.21,4,0,1,,DIELECTRIC,
EMC 115-B-1 GLASS/EPOXY,GSFC2260,PAC,0.29,12,0,1,,MOLD CPND,
EMC 14107-01-445 GLASS FILLED POLYESTER AQUA,GSC15534,ELC,0.23,15,0.04,1,0.08,MOLD CPND,
EMC 15108-01-446 GLASS FILLED POLYESTER AQUA,GSC15536,ELC,0.19,15,0.01,1,0.07,MOLD CPND,
EMC 7195-295-5 PHENOLIC DARK GREEN,GSC15538,ELC,1.33,15,0,1,0.24,MOLD CPND,
EMC 90 - BLACK,GSFC7214,PAC,0.6,14,0.01,1,0.09,POTTING,5M
EMCO 47058 RESIN/CATALYST,GSC29532,ECO,1.62,14,0.08,1,0.13,POTTING COMPOUND,
EM-FAB 20-60 TEFLON IMPREG FIBERGLASS,GSFC2314,PAL,0,0,0,1,,INSULATION,
EMI SILVER FILLED SILICONE ME 51-08-0201,GSFC3005,MET,1.06,5,0.35,1,,GASKET,
EMP 100 STATIC DISSIPATION MAT TAN,GSC14398,YAN,2.81,6,0.81,1,0.53,ANTISTATIC MAT,
EMP 100 STATIC DISSIPATION MAT TAN HIGH CROSS LINK,GSC14894,YAN,2.56,6,0.36,1,0.3,ANTI STATIC MAT,
EMP 100 STATIC DISSIPATIVE MAT TAN,GSC14477,YAN,2.65,6,0.74,1,0.42,ANTISTATIC MAT,15M
EMP110 (LIQUID PHOTO-IMAGEABLE SOLDER MASK) - UV CURED,GSC32173,EPL,0.67,3,0.04,1,0.69,SOLDER MASK,
EMP110 LIQUID PHOTO-IMAGEABLE SOLDER MASK,GSC30694,EPL,1.15,6,0,1,0.88,SOLDER MASK,1H
EMS 7085HT GRAY,GSC23143,SBI,0.17,4,0,1,0.07,DIELECTRIC,
"EMS P/N 172605-02, THICKENED ARTHANE 5750, 60 PBW THINNER",GSC32146,RAM,1.08,3,0.04,2,0.07,SPRAY COATING,2H
"EMS P/N 172605-08 VERY THICK ARTHANE 5750, FROZEN",GSC32122,BAC,0.78,14,0.01,2,0.09,POTTING COMPOUND,12H
EMX-116 A/B AS 1/1 BW TAN EPOXY,GSC11770,LUS,1.37,1,0.14,1,0.27,ADHESIVE,48H
ENAMEL 453-4-5/CA-212 AS 1/1 BV BLUE EPOXY/F,GSC11992,FPC,3.95,13,0.09,1,0.21,PAINT,7D
ENAMEL FLAT BLACK AEROSOL BROD-DUGAN 100,GSC10374,BDC,0.85,13,0.14,1,0.17,PAINT,72H
END CAP D300-18 SHRINKABLE IRRAD BLACK POLYOLEFIN,GSFC8578,RCC,0.92,2,0.3,1,0.11,END CAP,1M
ENDEVCO 3090A RED SILICONE RUBBER,GSC16364,END,0.36,14,0.08,1,0.04,POTTING,24H
ENDEVCO CABLE 8530A GRAY OUTER INSULATION,GSC18314,END,1.02,2,0.38,1,0.05,CABLE INSULATION,
ENDEVCO CABLE 8530A GRAY OUTER INSULATION,GSC18320,END,0.09,2,0.02,1,0.04,CABLE INSULATION,24H
"ENGINEERED DIFFUSER, POLYMER ON GLASS ",GSC34156,RPH,3.07,6,0.01,1,0.46,FILM,
ENPLATE DSR 3241 GREEN SOLDER MASK UV CURED,GSC20345,ENT,0.94,3,0.01,1,0.77,SOLDER MASK,1H
ENPLATE DSR-3241 (CR)G GREEN SOLDER MASK,GSC24536,ENT,1.92,3,0,1,0.67,SOLDER MASK,1H
ENPLATE DSR-3241 (CR)G GREEN SOLDER MASK,GSC24560,ENT,1.38,3,0,1,0.6,SOLDER MASK,3H
ENPLATE DSR-3241 (CR)G GREEN SOLDER MASK,GSC25029,ENT,1.7,3,0.04,1,0.91,SOLDER MASK,1H
ENPLATE DSR-3241 (M)G GREEN SOLDER MASK,GSC24533,ENT,2.58,3,0.02,1,0.76,SOLDER MASK,1H
ENPLATE DSR-3241 (M)G GREEN SOLDER MASK,GSC24557,ENT,2.08,3,0,1,0.88,SOLDER MASK,3H
ENPLATE DSR-3241 (M)G GREEN SOLDER MASK,GSC25038,ENT,1.53,3,0,1,1.05,SOLDER MASK,1H
ENPLATE DSR-3241 (MD)G GREEN SOLDER MASK,GSC25035,ENT,1.15,3,0.03,1,0.85,SOLDER MASK,1H
ENPLATE DSR-3241 G GREEN SOLDER MASK,GSC24524,ENT,1.79,3,0.01,1,0.76,SOLDER MASK,1H
ENPLATE DSR-3241 G GREEN SOLDER MASK,GSC24548,ENT,1.44,3,0,1,0.73,SOLDER MASK,3H
ENPLATE DSR-3241 G GREEN SOLDER MASK,GSC25032,ENT,1.04,3,0.04,1,0.76,SOLDER MASK,1H
ENPLATE DSR-3242 G GREEN SOLDER MASK,GSC24530,ENT,2.42,3,0.09,1,0.42,SOLDER MASK,1H
ENPLATE DSR-3242 G GREEN SOLDER MASK,GSC24554,ENT,1.14,3,0.02,1,0.49,SOLDER MASK,3H
ENPLATE DSR-3242 G GREEN SOLDER MASK,GSC25041,ENT,1.03,3,0.13,1,0.45,SOLDER MASK,1H
ENPLATE DSR-3300 G GREEN SOLDER MASK,GSC24527,ENT,3.19,3,0.25,1,0.45,SOLDER MASK,1H
ENPLATE DSR-3300 G GREEN SOLDER MASK,GSC24551,ENT,1.38,3,0.11,1,0.44,SOLDER MASK,3H
ENPLATE DSR-3300 G GREEN SOLDER MASK,GSC25044,ENT,1.2,3,0.21,1,0.35,SOLDER MASK,1H
ENPLATE UVP 100 GREEN SOLDER MASK UV CURE,GSC27466,ENT,1.82,3,0.31,1,0.35,SOLDER MASK,30M
ENSIFONE (POLYSULFONE) CLEAR ROD,GSC28282,ENS,0.37,99,0,1,0.18,TOOLING PIN,
ENVEX 1000,GSC10709,ROG,1.94,8,0.01,1,0.92,BEARING MATL,
ENVEX 1000,GSC10892,ROG,1.74,8,0.01,1,1.02,BEARING MATL,24H
ENVEX 1000 UNFILLED POLYIMIDE DARK BROWN,GSC18667,ROG,2.12,8,0,1,1.19,SOLID LUBE,
ENVEX 1000X,GSC10895,ROG,1.87,8,0.01,1,1.03,BEARING MATL,24H
ENVEX 1000X POLYIMIDE,GSC10712,ROG,1.83,8,0,1,0.92,BEARING MATL,
ENVEX 1001 ULTRASONIC GRADE POLYIMIDE DARK BROWN,GSC18669,ROG,2.03,8,0,1,1.19,SOLID LUBE,
ENVEX 1115,GSC10724,ROG,1.67,8,0.01,1,1.46,BEARING MATL,
ENVEX 1115,GSC10916,ROG,1.29,8,0.03,1,0.86,BEARING MATL,24H
ENVEX 1115 15% MOS2 POLYIMIDE,GSC18692,ROG,1,8,0,1,0.61,SOLID LUBE,
ENVEX 1228 28% PTFE POLYIMIDE,GSC18695,ROG,0.96,8,0,1,0.38,SOLID LUBE,
ENVEX 1315,GSC10730,ROG,2.03,8,0,1,1.54,BEARING MATL,
ENVEX 1315,GSC10922,ROG,1.36,8,0.02,1,0.93,BEARING MATL,24H
ENVEX 1315 15% GRAPHITE POLYIMIDE,GSC18707,ROG,1.87,8,0,1,1.28,SOLID LUBE,
ENVEX 1330 30% GRAPHITE POLYIMIDE,GSC18710,ROG,1.38,8,0,1,1.21,SOLID LUBE,
ENVEX 1425 15% GRAPHITE 10% PTFE POLYIMIDE,GSC18713,ROG,1.24,8,0,1,0.88,SOLID LUBE,
ENVEX 2000 UNFILLED POLYIMIDE,GSC18716,ROG,1.79,8,0,1,1.16,SOLID LUBE,
ENVIBAR UV 1244 UV CURED,GSC16179,UCC,3.41,3,0.02,1,1.16,CONF COAT,
EO 22698-1M FILM ADHESIVE (BULK),GSC28255,BRY,1.43,1,0.54,1,0.11,ADHESIVE,
"EO 22698-1M FILM ADHESIVE, CURED/F",GSC28264,BRY,0.32,1,0.01,1,0.19,ADHESIVE,3H
"EO 22698-1M FILM ADHESIVE, CURED/SAND BTWN KAPTON 200HN",GSC28276,BRY,3.78,1,0.01,1,3.27,ADHESIVE,3H
"EO 22698-1M FILM ADHESIVE, UNCURED/F",GSC28261,BRY,2.04,1,0.42,1,0.22,ADHESIVE,
EOS FLEX CIRCUITRY,GSC26308,ZZZ,0.37,4,0,1,0.08,CIRCUIT BOARD,1D
EOS FLEX CIRCUITRY BOARD,GSC26236,ZZZ,0.51,4,0.03,1,0.29,CIRCUIT BOARD,
EOS FLEX CIRCUITRY KAPTON,GSC26221,ZZZ,0.52,4,0,1,0.11,CIRCUIT LEADS,
EP 4100 SINGLE COMPONENT EPOXY,GSC16136,IRC,1.04,14,0.14,1,0.29,POTTING,6H
EP GREASE,GSFC5999,ZZZ,21.17,0,11.85,1,0.07,LUBRICANT,
EP-1730 BLACK EPOXY,GSC19384,EPY,0.59,14,0.01,1,0.24,POTTING,2H
EP2 - ENHANCED POLYIMIDE RESIN WITH CERAMIC FILLER IPC 4101/40/41,GSC31339,ARL,0.79,10,0,1,0.43,LAMINATE,
"EP21TCHT-1 PREMIXED FROZEN ADHESIVE, ITT P/N 561460-10 PWB A:B 100:60",GSC31108,UNK,0.11,1,0,1,0.06,ADHESIVE,
EP37-3FLFAO A:B 1:1 PBW,GSC34102,MBI,1,14,0.1,1,0.25,POTTING MATERIAL,72H
EPC-011 KAPTON FILM/THERMOSET ADH,GSFC8402,FLA,1.26,6,0.25,1,0.63,LAMINATE FILM,75M
EPDM BLACK ETHYLENE PROPYLENE,GSC20507,MCO,26.38,15,14.62,1,0.11,GASKET SEAL,24H
EPDM BLACK GROMMET MR-2254-A,GSC23805,AIR,22.74,15,13.48,1,0.09,GROMMET,
EPDM BLACK GROMMET MR-2254-A,GSC23808,AIR,22.53,15,13.45,1,0.08,GROMMET,42H
EPDM SILVER STRIP CLOSED CELL FOAM/ADH FILM/FOIL,GSC13442,DAC,13.63,7,3.73,1,0.2,INSULATION,
EPDM SPONGE B-42-E GRAY,GSC15783,ROG,13.38,7,7.65,1,0.15,FOAM,1.5M
EPIAL 1908M EPOXY/GLASS BLACK,GSC22687,ROG,0.31,12,0.01,2,0.1,EPOXY,3M
EPIALL 1906L EPOXY/GLASS (NOW EPIALL 1961),SRI 9221,ACM,0.39,0,0.06,1,,MOLD CPND,
EPIALL 1906L EPOXY/GLASS (NOW EPIALL 1961),SRI 9222,ACM,0.16,0,0.03,1,,MOLD CPND,24H
EPIALL 1914 EPOXY/GLASS,SRI 9223,ACM,0.55,0,0.03,1,,MOLD CPND,24H
EPIALL 1914 EPOXY/GLASS - BLACK,GSC16289,ACM,0.43,12,0.01,1,0.17,MOLD CPND,
EPIALL 1914 EPOXY/GLASS - BLACK,GSFC8231,ACM,0.44,12,0,1,0.15,MOLD CPND,4H
EPIALL 1914 EPOXY/GLASS - BLACK,GSFC8234,ACM,0.47,12,0,2,0.17,MOLD CPND,4H
EPIALL 1914 EPOXY/GLASS - BLACK,GSFC8450,ACM,0.47,12,0,1,0.16,MOLD CPND,7D
EPIALL 1914A THERMOSET MOLDING COMPOUND - BLACK,GSC29526,SBA,0.29,12,0.03,1,0.11,MOLD CPND,
EPIALL 2061-B BLACK GLASS FILLED EPOXY,GSC19657,ROG,0.31,12,0.01,1,0.11,MOLD CPND,
EPIALL 3100LS-X7049 EPOXY/GLASS/MINERAL FILL-GOLD,GSC14918,PEM,0.38,12,0.01,1,0.1,MOLD CPND,
EPIBOND 115,SRI 6422,FPI,11.63,0,0.49,2,,ADHESIVE,16H
EPIBOND 1210 A/B,GSC23940,CIB,1.71,1,0.17,1,0.56,ADHESIVE,
EPIBOND 1210 A/B AS 100/50 BW EPOXY,GSC23853,CIB,1.15,1,0.04,1,0.27,ADHESVIE,7D
EPIBOND 1210 A/B AS 100/50 BW EPOXY,GSC25068,CIB,0.43,1,0.02,1,0.19,ADHESIVE,7D
EPIBOND 1210 A/B AS 100/65 BW /5% GLASS BEADS,GSC23377,CIB,0.96,1,0,1,0.2,ADHESIVE,7D
EPIBOND 1210 A/B AS 100/65 BW EPOXY,GSC23374,CIB,1.42,1,0,1,0.31,ADHESIVE,7D
EPIBOND 1210 A/B AS 100/65 BW EPOXY,GSC23856,CIB,1.38,1,0.02,1,0.25,ADHESIVE,7D
EPIBOND 1210/9610 AS 100/50 BW EPOXY,GSC23859,CIB,1.26,1,0.07,1,0.26,ADHESIVE,7D
EPIBOND 1210/9610 AS 100/65 BW EPOXY,GSC23850,CIB,2.23,1,0.3,1,0.47,ADHESIVE,7D
"EPIBOND 1210/9615-10 BLUE EPOXY, A/B 100/50 PBW",GSC33571,HLA,1.14,1,0,1,0.36,ADHESIVE,24H
"EPIBOND 1210/9615A BROWN EPOXY, A/B 100/65 PBW",GSC33580,HLA,1.29,1,0.03,1,0.27,ADHESIVE,24H
EPIBOND 1210/9861 A/B AS 100/20 BW AMBER EPOXY,GSC25714,CIB,0.53,1,0,1,0.17,ADHESIVE,7D
EPIBOND 1210/9861 AS 5/1 BW EPOXY,GSFC6798,FPI,0.77,1,0,1,0.3,ADHESIVE,7D
EPIBOND 1210/CAT 9615 AS 100/65 BW EPOXY,GSFC3065,FPI,0.65,1,0.01,1,,ADHESIVE,3H
EPIBOND 1210/CAT 9615A,GSC28957,VAN,1.74,1,0.01,1,0.44,ADHESIVE,2H
EPON 917 EPOXY,SRI 6510,SHL,0.17,0,0.03,1,,ADHESIVE,15M
EPIBOND 1210/CAT 9615A (M9X 100:65 PBW),GSC28981,VAN,1.4,1,0.05,2,0.39,ADHESIVE,48H
EPIBOND 1210A/9615-10 AS 2/1 BW/5% GLASS BEADS,GSC18174,FPI,0.77,14,0.02,1,0.29,POTTING,7D
EPIBOND 1217 A/B,GSC33811,HLA,1.2,1,0.06,1,0.46,ADHESIVE,12H
EPIBOND 1217 A/B,GSC33820,HLA,1.14,1,0.05,2,0.43,ADHESIVE,12H
EPIBOND 1217 A/B,GSC33823,HLA,1.08,1,0.05,3,0.42,ADHESIVE,12H
EPIBOND 1217 EPOXY,GSC30268,HLA,2.4,1,0.1,1,0.63,ADHESIVE,7
EPIBOND 121O A/B AS 100/65 BW EPOXY,GSC23832,CIB,1.05,1,0.04,1,0.22,ADHESIVE,7D
EPIBOND 122/CAT 931,GSFC3630,FPI,3.17,1,0.01,1,,ADHESIVE,16H
EPIBOND 122/CAT 952,GSFC3632,FPI,4.37,1,0,1,,ADHESIVE,7D
EPIBOND 123/CAT 952 AS 20/3 BW EPOXY,GSFC1618,FPI,0.46,1,0.02,1,,ADHESIVE,90M
EPIBOND 123/CAT 952 AS 20/3 BW EPOXY,GSFC1621,FPI,0.63,3,0.03,1,,ADHESIVE,24H
EPIBOND 123/CAT 9615-10,GSFC3634,FPI,0.85,1,0.03,1,,ADHESIVE,7D
EPIBOND 7275 RED SINGLE COMPONENT EPOXY,GSC19920,CIB,1.82,1,0.08,1,0.26,ADHESIVE,30M
EPIBOND 8510 A/B AS 10/3 BW,GSFC1300,FPI,0.09,1,0,1,,ADHESIVE,90M
EPIBOND 8510 A/B AS 10/3 BW,GSFC1312,FPI,0.05,1,0,1,,ADHESIVE,5D
EPIC PHOTOIMAGABLE UV CURED GREEN SOLDER MASK,GSC20085,DYN,1.89,3,0.02,1,0.32,SOLDER MASK,1H
EPICAP 1961 BLACK EPOXY MOLDING CPND,GSC15990,PEM,0.5,12,0,2,0.12,MOLD CPND,5M
EPIPHEN 825A/MOD T/FILLER/CONVERTER - EPOXY,GSFC4150,BCM,0.83,1,0.01,2,,ADHESIVE,16H
EPIPHEN ER 825A/T-40/825A CONVERTER AS 100/12/16 BW,SRI 6423,BCM,1.07,0,0.01,1,,ADHESIVE,48H
EPIPHEN ER 825A/T-40/825A CONVERTER AS 100/12/16 BW,SRI 6424,BCM,0.84,0,0.01,1,,ADHESIVE,48H
